# Solar irradiance (Kurucz, R.L. 2005)   revised 02jan2010
# High resolution irradiance spectrum from 300 to 1000 nm.
# Thuillier et al (2004) calibration
# Kurucz.harvard.edu/sun/irradiance2005/irradthu.dat
#  
#  (tails left on to allow broadening)
#  
#      nm    W/m**2/nm
#     927476   2.45147  max   revised 02jan2010
  299.00010  0.62003
  299.00043  0.60210
  299.00075  0.57934
  299.00108  0.55162
  299.00140  0.51948
  299.00173  0.48430
  299.00205  0.44747
  299.00238  0.41009
  299.00271  0.37202
  299.00303  0.33326
  299.00336  0.29395
  299.00368  0.25532
  299.00401  0.21932
  299.00434  0.18788
  299.00466  0.16207
  299.00499  0.14153
  299.00531  0.12538
  299.00564  0.11242
  299.00597  0.10166
  299.00629  0.09311
  299.00662  0.08676
  299.00694  0.08345
  299.00727  0.08359
  299.00759  0.08718
  299.00792  0.09407
  299.00825  0.10373
  299.00857  0.11504
  299.00890  0.12704
  299.00922  0.13891
  299.00955  0.15077
  299.00988  0.16263
  299.01020  0.17504
  299.01053  0.18842
  299.01085  0.20318
  299.01118  0.22001
  299.01151  0.24043
  299.01183  0.26581
  299.01216  0.29726
  299.01248  0.33437
  299.01281  0.37520
  299.01314  0.41644
  299.01346  0.45520
  299.01379  0.48941
  299.01411  0.51879
  299.01444  0.54362
  299.01476  0.56459
  299.01509  0.58100
  299.01542  0.59217
  299.01574  0.59796
  299.01607  0.59879
  299.01639  0.59659
  299.01672  0.59369
  299.01705  0.59162
  299.01737  0.59079
  299.01770  0.59107
  299.01802  0.59273
  299.01835  0.59645
  299.01868  0.60348
  299.01900  0.61493
  299.01933  0.63038
  299.01965  0.64817
  299.01998  0.66624
  299.02031  0.68321
  299.02063  0.69852
  299.02096  0.71259
  299.02128  0.72528
  299.02161  0.73562
  299.02193  0.74211
  299.02226  0.74308
  299.02259  0.73825
  299.02291  0.72886
  299.02324  0.71673
  299.02356  0.70335
  299.02389  0.68956
  299.02422  0.67535
  299.02454  0.66045
  299.02487  0.64528
  299.02519  0.63093
  299.02552  0.61879
  299.02585  0.60983
  299.02617  0.60458
  299.02650  0.60307
  299.02682  0.60500
  299.02715  0.61065
  299.02748  0.62031
  299.02780  0.63424
  299.02813  0.65209
  299.02845  0.67310
  299.02878  0.69586
  299.02910  0.71918
  299.02943  0.74236
  299.02976  0.76484
  299.03008  0.78595
  299.03041  0.80540
  299.03073  0.82251
  299.03106  0.83686
  299.03139  0.84859
  299.03171  0.85811
  299.03204  0.86652
  299.03236  0.87452
  299.03269  0.88253
  299.03302  0.89025
  299.03334  0.89673
  299.03367  0.90143
  299.03399  0.90391
  299.03432  0.90487
  299.03465  0.90529
  299.03497  0.90639
  299.03530  0.90860
  299.03562  0.91108
  299.03595  0.91301
  299.03628  0.91301
  299.03660  0.91108
  299.03693  0.90777
  299.03725  0.90432
  299.03758  0.90170
  299.03791  0.89990
  299.03823  0.89825
  299.03856  0.89508
  299.03888  0.88901
  299.03921  0.87866
  299.03954  0.86335
  299.03986  0.84251
  299.04019  0.81575
  299.04051  0.78292
  299.04084  0.74415
  299.04116  0.69986
  299.04149  0.65075
  299.04182  0.59695
  299.04214  0.53900
  299.04247  0.47775
  299.04279  0.41484
  299.04312  0.35290
  299.04345  0.29454
  299.04377  0.24226
  299.04410  0.19756
  299.04442  0.15976
  299.04475  0.12789
  299.04508  0.10057
  299.04540  0.07684
  299.04573  0.05698
  299.04605  0.04097
  299.04638  0.02952
  299.04671  0.02276
  299.04703  0.02056
  299.04736  0.02290
  299.04768  0.03021
  299.04801  0.04250
  299.04834  0.05946
  299.04866  0.08056
  299.04899  0.10388
  299.04931  0.12802
  299.04964  0.15148
  299.04997  0.17327
  299.05029  0.19314
  299.05062  0.21135
  299.05094  0.22750
  299.05127  0.24143
  299.05160  0.25246
  299.05192  0.26047
  299.05225  0.26584
  299.05257  0.26971
  299.05290  0.27385
  299.05323  0.28019
  299.05355  0.28999
  299.05388  0.30338
  299.05420  0.31993
  299.05453  0.33842
  299.05486  0.35801
  299.05518  0.37870
  299.05551  0.40064
  299.05583  0.42367
  299.05616  0.44713
  299.05649  0.47003
  299.05681  0.49086
  299.05714  0.50851
  299.05746  0.52314
  299.05779  0.53486
  299.05812  0.54411
  299.05844  0.55103
  299.05877  0.55549
  299.05909  0.55730
  299.05942  0.55730
  299.05975  0.55675
  299.06007  0.55716
  299.06040  0.55964
  299.06072  0.56434
  299.06105  0.57123
  299.06138  0.58020
  299.06170  0.59165
  299.06203  0.60628
  299.06235  0.62463
  299.06268  0.64588
  299.06301  0.66809
  299.06333  0.68879
  299.06366  0.70590
  299.06398  0.71901
  299.06431  0.72922
  299.06464  0.73874
  299.06496  0.74909
  299.06529  0.76054
  299.06561  0.77255
  299.06594  0.78400
  299.06627  0.79421
  299.06659  0.80331
  299.06692  0.81187
  299.06724  0.82028
  299.06757  0.82856
  299.06790  0.83588
  299.06822  0.84195
  299.06855  0.84705
  299.06887  0.85202
  299.06920  0.85781
  299.06953  0.86499
  299.06985  0.87272
  299.07018  0.87989
  299.07050  0.88527
  299.07083  0.88831
  299.07116  0.88928
  299.07148  0.88928
  299.07181  0.88928
  299.07213  0.88983
  299.07246  0.89121
  299.07279  0.89314
  299.07311  0.89507
  299.07344  0.89659
  299.07376  0.89714
  299.07409  0.89672
  299.07442  0.89549
  299.07474  0.89411
  299.07507  0.89355
  299.07539  0.89411
  299.07572  0.89590
  299.07605  0.89797
  299.07637  0.89935
  299.07670  0.89935
  299.07702  0.89810
  299.07735  0.89672
  299.07768  0.89603
  299.07800  0.89687
  299.07833  0.89921
  299.07865  0.90280
  299.07898  0.90680
  299.07931  0.91094
  299.07963  0.91466
  299.07996  0.91811
  299.08029  0.92087
  299.08061  0.92280
  299.08094  0.92377
  299.08126  0.92391
  299.08159  0.92308
  299.08192  0.92046
  299.08224  0.91577
  299.08257  0.90886
  299.08289  0.90017
  299.08322  0.89107
  299.08355  0.88251
  299.08387  0.87520
  299.08420  0.86830
  299.08452  0.86044
  299.08485  0.85064
  299.08518  0.83878
  299.08550  0.82636
  299.08583  0.81491
  299.08615  0.80483
  299.08648  0.79559
  299.08681  0.78551
  299.08713  0.77324
  299.08746  0.75820
  299.08778  0.74123
  299.08811  0.72329
  299.08844  0.70480
  299.08876  0.68548
  299.08909  0.66484
  299.08941  0.64294
  299.08974  0.62169
  299.09007  0.60347
  299.09039  0.59091
  299.09072  0.58484
  299.09104  0.58470
  299.09137  0.58926
  299.09170  0.59768
  299.09202  0.61023
  299.09235  0.62721
  299.09268  0.64887
  299.09300  0.67371
  299.09333  0.69965
  299.09365  0.72464
  299.09398  0.74768
  299.09431  0.76880
  299.09463  0.78866
  299.09496  0.80771
  299.09528  0.82510
  299.09561  0.84014
  299.09594  0.85214
  299.09626  0.86125
  299.09659  0.86870
  299.09691  0.87533
  299.09724  0.88126
  299.09757  0.88568
  299.09789  0.88748
  299.09822  0.88609
  299.09854  0.88223
  299.09887  0.87726
  299.09920  0.87284
  299.09952  0.86995
  299.09985  0.86898
  299.10018  0.86954
  299.10050  0.87133
  299.10083  0.87437
  299.10115  0.87892
  299.10148  0.88513
  299.10181  0.89272
  299.10213  0.90072
  299.10246  0.90845
  299.10278  0.91521
  299.10311  0.92073
  299.10344  0.92528
  299.10376  0.92970
  299.10409  0.93439
  299.10441  0.93964
  299.10474  0.94447
  299.10507  0.94833
  299.10539  0.94985
  299.10572  0.94888
  299.10604  0.94613
  299.10637  0.94267
  299.10670  0.94019
  299.10702  0.93936
  299.10735  0.93977
  299.10768  0.94019
  299.10800  0.93908
  299.10833  0.93563
  299.10865  0.93026
  299.10898  0.92377
  299.10931  0.91742
  299.10963  0.91135
  299.10996  0.90500
  299.11028  0.89727
  299.11061  0.88733
  299.11094  0.87491
  299.11126  0.86070
  299.11159  0.84470
  299.11191  0.82676
  299.11224  0.80619
  299.11257  0.78245
  299.11289  0.75596
  299.11322  0.72767
  299.11355  0.69952
  299.11387  0.67247
  299.11420  0.64639
  299.11452  0.62058
  299.11485  0.59409
  299.11518  0.56732
  299.11550  0.54206
  299.11583  0.52053
  299.11615  0.50480
  299.11648  0.49514
  299.11681  0.49017
  299.11713  0.48769
  299.11746  0.48534
  299.11778  0.48148
  299.11811  0.47554
  299.11844  0.46685
  299.11876  0.45512
  299.11909  0.43953
  299.11942  0.41939
  299.11974  0.39486
  299.12007  0.36672
  299.12039  0.33691
  299.12072  0.30751
  299.12105  0.28032
  299.12137  0.25603
  299.12170  0.23491
  299.12202  0.21655
  299.12235  0.20013
  299.12268  0.18550
  299.12300  0.17225
  299.12333  0.16024
  299.12366  0.14934
  299.12398  0.13899
  299.12431  0.12878
  299.12463  0.11843
  299.12496  0.10821
  299.12529  0.09882
  299.12561  0.09095
  299.12594  0.08530
  299.12626  0.08143
  299.12659  0.07909
  299.12692  0.07743
  299.12724  0.07715
  299.12757  0.07963
  299.12790  0.08696
  299.12822  0.10020
  299.12855  0.12008
  299.12887  0.14534
  299.12920  0.17501
  299.12953  0.20854
  299.12985  0.24622
  299.13018  0.28847
  299.13050  0.33415
  299.13083  0.38107
  299.13116  0.42566
  299.13148  0.46485
  299.13181  0.49757
  299.13214  0.52516
  299.13246  0.54987
  299.13279  0.57320
  299.13311  0.59501
  299.13344  0.61350
  299.13377  0.62702
  299.13409  0.63600
  299.13442  0.64262
  299.13474  0.65021
  299.13507  0.66125
  299.13540  0.67616
  299.13572  0.69328
  299.13605  0.71053
  299.13638  0.72667
  299.13670  0.74131
  299.13703  0.75470
  299.13735  0.76657
